season,round,url,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,gasly,6,5,16,0,10,27,0,7,612.077,26
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,hamilton,7,4,62,0,6,161,0,3,715.001,37
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,tsunoda,8,13,11,0,15,27,0,7,818.057,22
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,vettel,9,6,13,0,14,15,0,9,921.148,34
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,alonso,10,7,16,0,11,47,0,5,1024.321,40
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,norris,11,9,50,0,7,65,0,4,1127.719,22
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,ricciardo,12,8,15,0,13,65,0,4,1231.2930000000001,32
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,ocon,13,10,31,0,9,47,0,5,1334.878,25
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,zhou,14,18,1,0,18,41,0,6,1438.6680000000001,23
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,bottas,15,11,40,0,8,41,0,6,1543.112,32
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,kevin_magnussen,16,17,15,0,12,15,0,8,1647.755,29
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,albon,17,12,3,0,16,3,0,10,1752.474,26
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,latifi,18,15,0,0,21,3,0,10,1857.841,26
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,stroll,19,16,2,0,17,15,0,9,1963.212,23
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,mick_schumacher,20,14,0,0,19,15,0,8,2068.987,23
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,max_verstappen,1,1,175,6,1,304,7,1,81.299,24
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,alonso,2,9,18,0,10,57,0,5,163.243,40
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,sainz,3,2,102,0,5,228,2,2,245.339,27
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,hamilton,4,3,77,0,6,188,0,3,328.23,37
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,kevin_magnussen,5,17,15,0,12,15,0,9,411.19,29
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,mick_schumacher,6,19,0,0,19,15,0,9,494.546,23
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,ocon,7,6,39,0,9,57,0,5,578.075,25
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,russell,8,4,111,0,4,188,0,3,661.6320000000001,24
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,ricciardo,9,11,15,0,13,65,0,4,745.381,32
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,zhou,10,8,5,0,16,51,0,6,829.4110000000001,23
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,bottas,11,7,46,0,8,51,0,6,916.199,32
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,albon,12,13,3,0,17,3,0,10,1003.057,26
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,perez,13,20,129,1,2,304,7,1,1096.184,32
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,gasly,15,14,16,0,11,27,0,7,1190.676,26
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,vettel,16,12,13,0,14,16,0,8,1285.188,34
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,stroll,17,10,3,0,18,16,0,8,1380.72,23
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,latifi,18,16,0,0,21,3,0,10,1476.38,26
2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,False,False,False,False,False,tsunoda,20,18,11,0,15,27,0,7,1572.955,22
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,sainz,1,1,127,1,4,265,3,2,100.983,27
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,max_verstappen,2,7,181,6,1,328,7,1,202.038,24
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,leclerc,3,4,138,2,3,265,3,2,303.336,24
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,perez,4,2,147,1,2,328,7,1,404.952,32
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,hamilton,5,3,93,0,6,204,0,3,506.947,37
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,norris,6,6,58,0,7,73,0,4,609.0310000000001,22
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,alonso,7,5,28,0,10,67,0,5,711.147,40
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,russell,8,18,111,0,5,204,0,3,813.308,24
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,zhou,9,19,5,0,16,51,0,6,916.027,23
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,latifi,10,12,0,0,20,3,0,10,1039.122,27
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,gasly,11,16,16,0,11,27,0,7,1142.824,26
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,bottas,12,17,46,0,8,51,0,6,1247.056,32
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,tsunoda,13,14,11,0,15,27,0,7,1351.367,22
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,ricciardo,14,13,15,0,14,73,0,4,1455.722,33
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,ocon,15,15,39,0,9,67,0,5,1560.912,25
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,albon,16,20,3,0,18,3,0,10,1662.99,26
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,kevin_magnussen,17,10,16,0,12,20,0,8,1765.149,29
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,vettel,18,9,15,0,13,18,0,9,1867.815,35
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,mick_schumacher,19,8,4,0,17,20,0,8,1970.523,23
2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,False,False,False,False,False,stroll,20,11,3,0,19,18,0,9,2073.953,23
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,leclerc,1,19,170,3,2,314,4,2,90.872,24
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,max_verstappen,2,1,233,7,1,396,8,1,182.048,24
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,perez,3,4,163,1,3,396,8,1,273.38300000000004,32
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,hamilton,4,2,127,0,6,270,0,3,365.148,37
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,norris,5,7,70,0,7,89,0,5,457.18,22
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,russell,6,3,143,0,5,270,0,3,549.311,24
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,alonso,7,6,37,0,10,93,0,4,641.863,40
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,tsunoda,8,20,11,0,16,27,0,8,734.643,22
2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,False,False,False,False,False,ricciardo,9,9,19,0,12,89,0,5,827.565,33
