season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2022,3,albert_park,sainz,1994-09-01,Spanish,ferrari,9,,Spun off,0,20
2022,4,imola,max_verstappen,1997-09-30,Dutch,red_bull,1,5527986,Finished,26,1
2022,4,imola,perez,1990-01-26,Mexican,red_bull,3,5544513,Finished,18,2
2022,4,imola,norris,1999-11-13,British,mclaren,5,5562820,Finished,15,3
2022,4,imola,russell,1998-02-15,British,mercedes,11,5570492,Finished,12,4
2022,4,imola,bottas,1989-08-28,Finnish,alfa,7,5571167,Finished,10,5
2022,4,imola,leclerc,1997-10-16,Monegasque,ferrari,2,5584058,Finished,8,6
2022,4,imola,tsunoda,2000-05-11,Japanese,alphatauri,12,5589096,Finished,6,7
2022,4,imola,vettel,1987-07-03,German,aston_martin,13,5598878,Finished,4,8
2022,4,imola,kevin_magnussen,1992-10-05,Danish,haas,8,5603246,Finished,2,9
2022,4,imola,stroll,1998-10-29,Canadian,aston_martin,15,,+1 Lap,1,10
2022,4,imola,albon,1996-03-23,Thai,williams,18,,+1 Lap,0,11
2022,4,imola,gasly,1996-02-07,French,alphatauri,17,,+1 Lap,0,12
2022,4,imola,hamilton,1985-01-07,British,mercedes,14,,+1 Lap,0,13
2022,4,imola,ocon,1996-09-17,French,alpine,16,,+1 Lap,0,14
2022,4,imola,zhou,1999-05-30,Chinese,alfa,0,,+1 Lap,0,15
2022,4,imola,latifi,1995-06-29,Canadian,williams,19,,+1 Lap,0,16
2022,4,imola,mick_schumacher,1999-03-22,German,haas,10,,+1 Lap,0,17
2022,4,imola,ricciardo,1989-07-01,Australian,mclaren,6,,+1 Lap,0,18
2022,4,imola,alonso,1981-07-29,Spanish,alpine,9,,Collision damage,0,19
2022,4,imola,sainz,1994-09-01,Spanish,ferrari,4,,Collision,0,20
2022,5,miami,max_verstappen,1997-09-30,Dutch,red_bull,3,5664258,Finished,26,1
2022,5,miami,leclerc,1997-10-16,Monegasque,ferrari,1,5668044,Finished,18,2
2022,5,miami,sainz,1994-09-01,Spanish,ferrari,2,5672487,Finished,15,3
2022,5,miami,perez,1990-01-26,Mexican,red_bull,4,5674896,Finished,12,4
2022,5,miami,russell,1998-02-15,British,mercedes,12,5682840,Finished,10,5
