season,round,circuit_id,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
2017,20,yas_marina,not found,0,0,0,0,0
2018,1,albert_park,not found,0,0,0,0,0
2018,2,bahrain,not found,0,0,0,0,0
2018,3,shanghai,not found,0,0,0,0,0
2018,4,baku,not found,0,0,0,0,0
2018,5,catalunya,not found,0,0,0,0,0
2018,6,monaco,not found,0,0,0,0,0
2018,7,villeneuve,not found,0,0,0,0,0
2018,8,ricard,not found,0,0,0,0,0
2018,9,red_bull_ring,not found,0,0,0,0,0
2018,10,silverstone,not found,0,0,0,0,0
2018,11,hockenheimring,not found,0,0,0,0,0
2018,12,hungaroring,not found,0,0,0,0,0
2018,13,spa,not found,0,0,0,0,0
2018,14,monza,not found,0,0,0,0,0
2018,15,marina_bay,not found,0,0,0,0,0
2018,16,sochi,not found,0,0,0,0,0
2018,17,suzuka,not found,0,0,0,0,0
2018,18,americas,not found,0,0,0,0,0
2018,19,rodriguez,not found,0,0,0,0,0
2018,20,interlagos,not found,0,0,0,0,0
2018,21,yas_marina,not found,0,0,0,0,0
2019,1,albert_park,not found,0,0,0,0,0
2019,2,bahrain,not found,0,0,0,0,0
2019,3,shanghai,not found,0,0,0,0,0
2019,4,baku,not found,0,0,0,0,0
2019,5,catalunya,not found,0,0,0,0,0
2019,6,monaco,not found,0,0,0,0,0
2019,7,villeneuve,not found,0,0,0,0,0
2019,8,ricard,not found,0,0,0,0,0
2019,9,red_bull_ring,not found,0,0,0,0,0
2019,10,silverstone,not found,0,0,0,0,0
2019,11,hockenheimring,not found,0,0,0,0,0
2019,12,hungaroring,not found,0,0,0,0,0
2019,13,spa,not found,0,0,0,0,0
2019,14,monza,not found,0,0,0,0,0
2019,15,marina_bay,not found,0,0,0,0,0
2019,16,sochi,not found,0,0,0,0,0
2019,17,suzuka,not found,0,0,0,0,0
2019,18,rodriguez,not found,0,0,0,0,0
2019,19,americas,not found,0,0,0,0,0
2019,20,interlagos,not found,0,0,0,0,0
2019,21,yas_marina,not found,0,0,0,0,0
2020,1,red_bull_ring,not found,0,0,0,0,0
2020,2,red_bull_ring,not found,0,0,0,0,0
2020,3,hungaroring,not found,0,0,0,0,0
2020,4,silverstone,not found,0,0,0,0,0
2020,5,silverstone,not found,0,0,0,0,0
2020,6,catalunya,not found,0,0,0,0,0
2020,7,spa,not found,0,0,0,0,0
2020,8,monza,not found,0,0,0,0,0
2020,9,mugello,not found,0,0,0,0,0
2020,10,sochi,not found,0,0,0,0,0
2020,11,nurburgring,not found,0,0,0,0,0
2020,12,portimao,not found,0,0,0,0,0
2020,13,imola,not found,0,0,0,0,0
2020,14,istanbul,not found,0,0,0,0,0
2020,15,bahrain,not found,0,0,0,0,0
2020,16,bahrain,not found,0,0,0,0,0
2020,17,yas_marina,not found,0,0,0,0,0
2021,1,bahrain,not found,0,0,0,0,0
2021,2,imola,not found,0,0,0,0,0
2021,3,portimao,not found,0,0,0,0,0
2021,4,catalunya,not found,0,0,0,0,0
2021,5,monaco,not found,0,0,0,0,0
2021,6,baku,not found,0,0,0,0,0
2021,7,ricard,not found,0,0,0,0,0
2021,8,red_bull_ring,not found,0,0,0,0,0
2021,9,red_bull_ring,not found,0,0,0,0,0
2021,10,silverstone,not found,0,0,0,0,0
2021,11,hungaroring,not found,0,0,0,0,0
2021,12,spa,not found,0,0,0,0,0
2021,13,zandvoort,not found,0,0,0,0,0
2021,14,monza,not found,0,0,0,0,0
2021,15,sochi,not found,0,0,0,0,0
2021,16,istanbul,not found,0,0,0,0,0
2021,17,americas,not found,0,0,0,0,0
2021,18,rodriguez,not found,0,0,0,0,0
2021,19,interlagos,not found,0,0,0,0,0
2021,20,losail,not found,0,0,0,0,0
2021,21,jeddah,not found,0,0,0,0,0
2021,22,yas_marina,not found,0,0,0,0,0
2022,1,bahrain,not found,0,0,0,0,0
2022,2,jeddah,not found,0,0,0,0,0
2022,3,albert_park,not found,0,0,0,0,0
2022,4,imola,not found,0,0,0,0,0
2022,5,miami,not found,0,0,0,0,0
2022,6,catalunya,not found,0,0,0,0,0
2022,7,monaco,not found,0,0,0,0,0
2022,8,baku,not found,0,0,0,0,0
2022,9,villeneuve,not found,0,0,0,0,0
2022,10,silverstone,not found,0,0,0,0,0
2022,11,red_bull_ring,not found,0,0,0,0,0
2022,12,ricard,not found,0,0,0,0,0
2022,13,hungaroring,not found,0,0,0,0,0
2022,14,spa,not found,0,0,0,0,0
2022,15,zandvoort,not found,0,0,0,0,0
2022,16,monza,not found,0,0,0,0,0
2022,17,marina_bay,not found,0,0,0,0,0
2022,18,suzuka,not found,0,0,0,0,0
2022,19,americas,not found,0,0,0,0,0
2022,20,rodriguez,not found,0,0,0,0,0
2022,21,interlagos,not found,0,0,0,0,0
2022,22,yas_marina,not found,0,0,0,0,0
2023,1,bahrain,not found,0,0,0,0,0
2023,2,jeddah,not found,0,0,0,0,0
2023,3,albert_park,not found,0,0,0,0,0
2023,4,baku,not found,0,0,0,0,0
2023,5,miami,not found,0,0,0,0,0
2023,6,monaco,not found,0,0,0,0,0
2023,7,catalunya,not found,0,0,0,0,0
2023,8,villeneuve,not found,0,0,0,0,0
2023,9,red_bull_ring,not found,0,0,0,0,0
2023,10,silverstone,not found,0,0,0,0,0
2023,11,hungaroring,not found,0,0,0,0,0
2023,12,spa,not found,0,0,0,0,0
2023,13,zandvoort,not found,0,0,0,0,0
2023,14,monza,not found,0,0,0,0,0
2023,15,marina_bay,not found,0,0,0,0,0
2023,16,suzuka,not found,0,0,0,0,0
2023,17,losail,not found,0,0,0,0,0
2023,18,americas,not found,0,0,0,0,0
2023,19,rodriguez,not found,0,0,0,0,0
2023,20,interlagos,not found,0,0,0,0,0
2023,21,vegas,not found,0,0,0,0,0
2023,22,yas_marina,not found,0,0,0,0,0
